vint_moyy,fico_bkt,fico_bkt_coupon
202007,[750+),0.1104432331069
202008,[0-620),0.243483846644963
202008,[620-650),0.220176493540729
202008,[650-680),0.194330256420431
202008,[680-710),0.169506015052363
202008,[710-750),0.139225343303863
202008,[750+),0.10721050687241
202009,[0-620),0.242870455220582
202009,[620-650),0.220697858834599
202009,[650-680),0.193803532626047
202009,[680-710),0.168459796489362
202009,[710-750),0.139144273626716
202009,[750+),0.110118079100204
202010,[0-620),0.241490511159517
202010,[620-650),0.218105677331824
202010,[650-680),0.191494819185212
202010,[680-710),0.166166006245204
202010,[710-750),0.135309414959207
202010,[750+),0.103250279352869
202011,[0-620),0.245603902262593
202011,[620-650),0.218459604638813
202011,[650-680),0.190106393007651
202011,[680-710),0.164657525629065
202011,[710-750),0.136410609490607
202011,[750+),0.102351245791473
202012,[0-620),0.249859905522214
202012,[620-650),0.218800267975
202012,[650-680),0.189288863380746
202012,[680-710),0.163561231409122
202012,[710-750),0.132313027990124
202012,[750+),0.100224486161025
202101,[0-620),0.247390436671987
202101,[620-650),0.216115171370694
202101,[650-680),0.180646334808573
202101,[680-710),0.155204385474537
202101,[710-750),0.12543103612266
202101,[750+),0.0958070449905257
202102,[0-620),0.24646037815385
202102,[620-650),0.215889859757132
202102,[650-680),0.179319885152754
202102,[680-710),0.154093406854174
202102,[710-750),0.123983143099586
202102,[750+),0.0950293047857132
202103,[0-620),0.236565228317768
202103,[620-650),0.207452816110593
202103,[650-680),0.173795321480048
202103,[680-710),0.149914387517324
202103,[710-750),0.119349183405262
202103,[750+),0.0909330816521619
202104,[0-620),0.236064324833518
202104,[620-650),0.206470699735964
202104,[650-680),0.172981007590664
202104,[680-710),0.148956892793347
202104,[710-750),0.117009860959424
202104,[750+),0.0893961631630769
202105,[0-620),0.238104724630487
202105,[620-650),0.208610085502257
202105,[650-680),0.173790229014023
202105,[680-710),0.14963151967864
202105,[710-750),0.117132146715949
202105,[750+),0.088612880029652
202106,[0-620),0.240565194019027
202106,[620-650),0.211779529447131
202106,[650-680),0.177325770282092
202106,[680-710),0.150408711711736
202106,[710-750),0.116072348777214
202106,[750+),0.0880909928198532
202107,[0-620),0.24413350175634
202107,[620-650),0.2156228861417
202107,[650-680),0.180433449333245
