source_platform,vint_moyy,fico_bkt,fico_bkt_coupon
Marlette,201502,[750+),0.101060047691992
Marlette,201503,[620-650),0.266681226533166
Marlette,201503,[650-680),0.195976395058603
Marlette,201503,[680-710),0.161624968269857
Marlette,201503,[710-750),0.132948248268523
Marlette,201503,[750+),0.0996469391493325
Marlette,201504,[620-650),0.256309080620926
Marlette,201504,[650-680),0.197994012093761
Marlette,201504,[680-710),0.168846146040886
Marlette,201504,[710-750),0.137970161449195
Marlette,201504,[750+),0.105206121422675
Marlette,201505,[620-650),0.257657099969979
Marlette,201505,[650-680),0.203640002906454
Marlette,201505,[680-710),0.168720183118156
Marlette,201505,[710-750),0.141925045288501
Marlette,201505,[750+),0.1089937062646
Marlette,201506,[620-650),0.256567295667484
Marlette,201506,[650-680),0.203817277344419
Marlette,201506,[680-710),0.168932073933803
Marlette,201506,[710-750),0.14409439770488
Marlette,201506,[750+),0.111714608227332
Marlette,201507,[620-650),0.256832121767856
Marlette,201507,[650-680),0.205029573200302
Marlette,201507,[680-710),0.169885359027957
Marlette,201507,[710-750),0.142217153381287
Marlette,201507,[750+),0.106066341292042
Marlette,201508,[620-650),0.262971227309416
Marlette,201508,[650-680),0.195754164230014
Marlette,201508,[680-710),0.166036332434186
Marlette,201508,[710-750),0.139513076088934
Marlette,201508,[750+),0.104394136049037
Marlette,201509,[620-650),0.26336359797501
Marlette,201509,[650-680),0.191571806559002
Marlette,201509,[680-710),0.165941421437251
Marlette,201509,[710-750),0.139703660649479
Marlette,201509,[750+),0.102043569520543
Marlette,201510,[620-650),0.270060849746262
Marlette,201510,[650-680),0.191948433453599
Marlette,201510,[680-710),0.170860725326156
Marlette,201510,[710-750),0.140163242819197
Marlette,201510,[750+),0.10134667132972
Marlette,201511,[620-650),0.270436464756642
Marlette,201511,[650-680),0.200244898859718
Marlette,201511,[680-710),0.172588089116937
Marlette,201511,[710-750),0.143202849707728
Marlette,201511,[750+),0.0991540334190026
Marlette,201512,[620-650),0.269098460956226
Marlette,201512,[650-680),0.190088101341032
Marlette,201512,[680-710),0.168841451483541
Marlette,201512,[710-750),0.142374958354069
Marlette,201512,[750+),0.103965950748539
Marlette,201601,[620-650),0.264089619737242
Marlette,201601,[650-680),0.187351206198402
Marlette,201601,[680-710),0.16199951733167
Marlette,201601,[710-750),0.132484564077736
Marlette,201601,[750+),0.0896728446915865
Marlette,201602,[620-650),0.266201172986212
Marlette,201602,[650-680),0.188890294916579
Marlette,201602,[680-710),0.158637415315108
Marlette,201602,[710-750),0.133073280936293
Marlette,201602,[750+),0.0899708565689367
Marlette,201603,[620-650),0.264465116830589
Marlette,201603,[650-680),0.189460674872354
Marlette,201603,[680-710),0.160532279130345
Marlette,201603,[710-750),0.13381507698016
Marlette,201603,[750+),0.0936097143465113
Marlette,201604,[620-650),0.265879305888597
Marlette,201604,[650-680),0.196425657440043
Marlette,201604,[680-710),0.170861819090103
Marlette,201604,[710-750),0.138799875835397
Marlette,201604,[750+),0.100670871924249
Marlette,201605,[620-650),0.267201932150079
Marlette,201605,[650-680),0.195166719731852
Marlette,201605,[680-710),0.169732933385471
Marlette,201605,[710-750),0.14425008427564
Marlette,201605,[750+),0.0957013145244823
Marlette,201606,[620-650),0.267609112636647
