vint_moyy,fico_bkt,fico_bkt_coupon
201909,580-620,0.11696246078773091
201909,620-660,0.09763756954102921
201909,660-700,0.07554377757258644
201909,700-740,0.05535203237570044
201909,740+,0.037996848550333154
201909,<540,0.09342710472279261
201910,540-580,0.1175682608695652
201910,580-620,0.11832656306469101
201910,620-660,0.09911094589752777
201910,660-700,0.07415549874904818
201910,700-740,0.05402041296866509
201910,740+,0.03638954616358125
201910,<540,0.09032475633528264
201911,540-580,0.12348717693836977
201911,580-620,0.12290861302062271
201911,620-660,0.10039577478532397
201911,660-700,0.07470642504118616
201911,700-740,0.053650575250210455
201911,740+,0.03541969791785186
201911,<540,0.09175494252873564
201912,540-580,0.11704667393675028
201912,580-620,0.12132160583941606
201912,620-660,0.09743282553852124
201912,660-700,0.07276618819776715
201912,700-740,0.0524236612824278
201912,740+,0.034496011891592925
201912,<540,0.07769767441860465
202001,540-580,0.12586668444444443
202001,580-620,0.12079576796789493
202001,620-660,0.09752224704755824
202001,660-700,0.0752604914355628
202001,700-740,0.05531223922448326
202001,740+,0.03692628342318424
202001,<540,0.09172978260869566
202002,540-580,0.12467538247566064
202002,580-620,0.1202612016618728
202002,620-660,0.0986826495857625
202002,660-700,0.0759854277539342
202002,700-740,0.056499776571975746
202002,740+,0.03725770910768062
202002,<540,0.0979903846153846
202003,540-580,0.12724821428571428
202003,580-620,0.12145199299338265
202003,620-660,0.09869165011037527
202003,660-700,0.0765174938695439
202003,700-740,0.05581952624555161
202003,740+,0.037470078836859204
202003,<540,0.10053333333333332
202004,540-580,0.12685583333333333
202004,580-620,0.11712171604938271
202004,620-660,0.08994449696969697
202004,660-700,0.06639572997254804
202004,700-740,0.04642268653372171
202004,740+,0.030546603557085487
202004,<540,0.08709794871794872
202005,540-580,0.10970617647058824
202005,580-620,0.1094469265756985
202005,620-660,0.09471722334004024
202005,660-700,0.0702720886203424
202005,700-740,0.048924257566865095
202005,740+,0.028139228998849252
202005,<540,0.07634724409448819
202006,540-580,0.09933659846547314
202006,580-620,0.10785873695771554
202006,620-660,0.09510588076974835
202006,660-700,0.07141147024137118
202006,700-740,0.04900494722439406
202006,740+,0.028490202407259392
202006,<540,0.07772433333333333
202007,540-580,0.10456745233968805
202007,580-620,0.10943125845737484
202007,620-660,0.09374219088684303
202007,660-700,0.07141133612565445
202007,700-740,0.04846433042170417
202007,740+,0.029892124916167277
202007,<540,0.07416884272997033
202008,540-580,0.11894739688359304
202008,580-620,0.11779970410435889
202008,620-660,0.0954308639223912
202008,660-700,0.07189980981595093
202008,700-740,0.05154084651398203
202008,740+,0.03189251899154876
202008,<540,0.08255652173913043
202009,540-580,0.1196902928127773
202009,580-620,0.12153657794676806
202009,620-660,0.0963324612216884
202009,660-700,0.07156739430894309
202009,700-740,0.05053321447757185
202009,740+,0.032034961080301405
202009,<540,0.08085164319248826
202010,540-580,0.11810068301225919
202010,580-620,0.12102118833385045
202010,620-660,0.09589991977225673
202010,660-700,0.07303220509226817
202010,700-740,0.05248256960408684
202010,740+,0.03434208656818962
202010,<540,0.08244483627204031
202011,540-580,0.12028685483870968
202011,580-620,0.11914611622962439
202011,620-660,0.09353619826756497
202011,660-700,0.0708118980763264
202011,700-740,0.04968487389737856
202011,740+,0.03208622405942464
202011,<540,0.07995509569377991
202012,540-580,0.11533269651741293
202012,580-620,0.11856601744186046
202012,620-660,0.09352214314381271
202012,660-700,0.07062693358208955
202012,700-740,0.04977166867979224
202012,740+,0.03192739189795401
202012,<540,0.07231433172302738
202101,540-580,0.12497078991596638
202101,580-620,0.12353939950644365
202101,620-660,0.09695725976054138
202101,660-700,0.07469853386303443
202101,700-740,0.0548234668307417
202101,740+,0.03556242568516144
202101,<540,0.08701932989690722
202102,540-580,0.12340189165186499
202102,580-620,0.12188429222258379
202102,620-660,0.09634483403582718
202102,660-700,0.07422769686250384
202102,700-740,0.05434745759302716
202102,740+,0.03570756254275383
202102,<540,0.08710637469586374
202103,540-580,0.12744519795062878
202103,580-620,0.12298538240368027
202103,620-660,0.09746944854537559
202103,660-700,0.07497242719991513
202103,700-740,0.05326930585372835
202103,740+,0.033359574706603605
202103,<540,0.09225625
202104,540-580,0.1256192320441989
202104,580-620,0.124065538317757
202104,620-660,0.09778526065531253
202104,660-700,0.07539887036443305
202104,700-740,0.05473891036386944
202104,740+,0.03550250196876861
202104,<540,0.08991827079934747
202105,540-580,0.12253497730711044
