Status	term	grade	C	D1M	D2M	D3M	D4M	PIF	LIQ
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
C	60	2.0-3.9	1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.648000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
